title,description,authors,publisher,published_date,categories,ratings_count
"Sir Marrok;: A tale of the days of King Arthur, (St. Nicholas Books)",Trieste Publishing has a massive catalogue of classic book titles. Our aim is to provide readers with the highest quality reproductions of fiction and non-fiction literature that has stood the test of time. The many thousands of books in our collection have been sourced from libraries and private collections around the world.The titles that Trieste Publishing has chosen to be part of the collection have been scanned to simulate the original. Our readers see the books the same way that their firs,Allen French,Trieste Publishing,2017-10-04,History,0
Poltergeist: The Legacy 03: The Shadows Between,"Superheroes and characters who fight crime by extraordinary means have populated the television airwaves from the beginning. This broad-ranging reference contains a trove of information on shows featuring such characters as Superman and Black Scorpion to programs like The A-Team and Knight Rider. Regular police and detective shows have been excluded. Alphabetical entries on 125 network, cable and syndicated series broadcast from 1949 to 2001, plus 26 pilot films, deliver information about story ",Vincent Terrace,McFarland,2015-10-02,Performing Arts,0
Innkeepers' Best Quick Breads: 60 Delicious Recipes Shared by Bed & Breakfast Innkeepers Across the Country,,Laura Zahn,,1999,Bed and breakfast accommodations,0
"The Phoenix's Guide To Self Renewal, A Daily Food Diary and Exercise Journal To Guide, Motivate and Inspire You On Your Weight Loss Journey","This second edition of The Phoenix's Guide To Self Renewal, is sure to hit home with anyone who has had to deal with the feelings and emotions caused by excessive weight. The ten short chapters are very motivational and inspirational. The author touches your heart with her realizations and honest feelings in regard to her own weight, while energizing you with her positive outlook. The Phoenix's Guide To Self Renewal was originally designed for the author¿s own use but was published due to the la",Melissa Alvarez,,2010-03,Health & Fitness,0
Mathematics: Subject Test/Advanced (Graduate Record Examination),Discusses the nature of and preparation for the advanced mathematics test and presents five sample examinations to guide undergraduate and graduate students,Morris Bramson,Arco Pub,1983,Mathematics,0
Castle Barebane : A Novel Of Suspense,,,,1977,Books,0
Scientific Examination of Documents (Ellis Horwood series in forensic science),,David Ellen,Halsted Press,1989-01-01,Criminal investigation,0
Pararescue: The Skill and Courage of the Elite 106th Rescue Wing--The True Story of an Incredible Rescue at Sea and the Heroes Who Pulled It Off,"Recounts the capsizing of the cargo ship ""Salvador Allende"" during a massive storm, and the desperate efforts of the Pararescue Jumpers of the 106th Rescue Wing who risked their lives to save survivors.",Michael Hirsh,Avon,2001-01-01,History,0
"Newnes Building Services Pocket Book, Second Edition (Newnes Pocket Books)","Newnes Building Services Pocket Book is a unique compendium of essential data, techniques and procedures, best practice, and underpinning knowledge. This makes it an essential tool for engineers involved in the design and day-to-day running of mechanical services in buildings, and a valuable reference for managers, students and engineers in related fields. This pocket reference gives the reader access to the knowledge and knowhow of the team of professional engineers who wrote the sixteen chapte","Andrew Prentice, John Knight, W.P. Jones",Routledge,2012-05-31,Technology & Engineering,0
Theory of functions of a complex variable,Theory of Functions of a Complex Variable,Narayan Shanti & Mittal P.K.,S. Chand Publishing,2005-03,Science,0
"Writing Solutions: Beginnings, Middles & Endings","Whether you are a novice writer, or an immediate journalism student; in a freshmen English class; writing a speech, a technical report, advertising copy, or promotional or publicity material; beginning a magazine article or book; or working on any other writing project, you need to face the demands of that blank computer screen. You need to not only fill the blank screen, you need to begin your project effectively, introducing your subject to your reader with exactly the right beginning, and wit",Thomas Fensch,Sharon's Books,2001-06,Language Arts & Disciplines,0
Wasting America's Future,"The Health and Human Services poverty line for a three-person family in America is $11,8oo in annual income. One in every five American children is growing up in poverty. What does child poverty mean for the economic and societal future of our country? The Children's Defense Fund, widely considered the most powerful force for children in America, has assembled expert and ground-breaking information on how poverty affects health, childhood deaths, low birth weight, and injury; on the insidious co","Arloc Sherman, Children's Defense Fund (U.S.)",Beacon Press (MA),1994,Political Science,0
DRINK WITH THE DEVIL,The hunt is on for a fortune in stolen British gold in this New York Times bestselling Sean Dillon novel. Irish militant Michael Ryan wants to finance war in his homeland—and a sinister pact with the New York Mafia will make his dreams a savage reality. Former IRA enforcer Sean Dillon now works for the British government. His mission: retrieve the gold lying shipwreched at the botton of the Irish Sea by any means necessary—and finish Ryan's bloody plot before it gets off the ground. Two deadly m,Jack Higgins,Penguin,1997-06-01,Fiction,3.0
Supersymmetry and supergravity (Princeton series in physics),This widely acclaimed introduction to N = 1 supersymmetry and supergravity is aimed at readers familiar with relativistic quantum field theory who wish to learn about the supersymmetry algebra. In this new volume Supersymmetry and Supergravity has been greatly expanded to include a detailed derivation of the most general coupling of super-symmetric gauge theory to supergravity. The final result is the starting point for phenomenological studies of supersymmetric theories. The book is distinguish,"Julius Wess, Jonathan Bagger",Princeton University Press,2020-05-26,Science,0
The Thread Crochet Christmas Village (#1069),,,,1989,Crocheting,0
The Complete War Memoirs of Charles de Gaulle,,Charles de Gaulle,,1964,France,0
"Place Called Sweet Shrub, A",It is 1915 in the sleepy hamlet of Sweet Shrub. Lucy Richards has a full and busy life. Then Lucy finds out that the town hides tensions and unrest that will result in tragedy.,Jane Roberts Wood,Jane Roberts Wood,2000-01-01,Fiction,0
The Graves: Srebrenica And Vukovar,This book is based on research conducted in Bosnia and Croatia from 1992 to 1997. Some of the name of individuals in the book have been changed to protect them from possible retaliations and further hardship.,Eric Stover,Scalo Verlag Ac,1998,History,1.0
God Owns My Business,"God Owns My Business is more than a book about a successful businessman. It is the chronicle of how an average man can, with God's guidance and a willing heart, succeed in any endeavor. They said it couldn’t be done, but formally and legally, business owner Stanley Tam made God the owner of his business. To say that his business has met with success thanks to this decision would be a significant understatement—Stanley Tam's businesses are large and profitable, giving well over a million dollars ",Stanley Tam,Moody Publishers,2013-07-01,Biography & Autobiography,0
Children of the Ghetto: A Study of a Peculiar People,,Israel Zangwill,,1896,Jews,0
Consumer's Guide to a Brave New World: Library Edition,""" Scare headlines about the first human clones appear in our newspapers. Biotech companies brag about manufacturing human embryos as ""products"" for use in medical treatments. Events are moving so fast—and biotechnology seems so complicated—that many of us worry we can’t keep up. But now, Wesley J. Smith provides us with a guide to the brave new world that is no longer a figment of our imagination, but a reality just around the corner of our lives. Smith unravels the mystery of stem cells and sho",Wesley J. Smith,Encounter Books,2004-01-01,Science,0
THE MANITOUS The Spiritual World Of The Ojibway,"From the rich oral culture of his own Ojibway Indian heritage, Basil Johnston presents a collection of legends and tales depicting manitous, mystical beings who are divine and essential forces in the spiritual life of his people.",Basil Johnston,Borealis Book,2001,Religion,1.0
